 2025-09-29 13:36 	 PY2LSB 	 28.126062 	 -20 	 0 	 GG77je 	 1 	 G7PUV 	 JO00au 	 9312 	 27 	 W-2 
 2025-09-29 13:36 	 G0KTN 	 28.126022 	 -22 	 1 	 IO81ti 	 0.1 	 IT9JFW 	 JM68qd 	 1916 	 134 	 W-2 
 2025-09-29 13:36 	 YM2XBL 	 28.126008 	 -5 	 0 	 KN41 	 0.2 	 G7CKX/SDR5 	 IO83wb 	 2646 	 310 	 W-2 
 2025-09-29 13:36 	 SM4TIW 	 28.126048 	 -22 	 0 	 JO79 	 0.2 	 G7PUV 	 JO00au 	 1342 	 231 	 W-2 
 2025-09-29 13:36 	 HS0ZEV 	 28.126206 	 -23 	 0 	 OK08dh 	 0.1 	 SA5CHW 	 JO78tn 	 7972 	 327 	 W-2 
 2025-09-29 13:36 	 PD0OHW/M 	 28.126167 	 -17 	 0 	 JN33nq 	 5 	 TF3HZ 	 HP94ad 	 2915 	 331 	 W-2 
 2025-09-29 13:36 	 YM2XBL 	 28.126119 	 -24 	 0 	 KN41 	 0.2 	 TF3HZ 	 HP94ad 	 4078 	 325 	 W-2 
 2025-09-29 13:36 	 F6FUZ 	 28.126102 	 -26 	 0 	 JN05id 	 0.2 	 TF3HZ 	 HP94ad 	 2537 	 334 	 W-2 
 2025-09-29 13:36 	 DL6NL 	 28.126174 	 -22 	 0 	 JO50cb 	 1 	 SA5CHW 	 JO78tn 	 1008 	 18 	 W-2 
 2025-09-29 13:36 	 PY2LSB 	 28.126158 	 -18 	 -1 	 GG77je 	 1 	 SA5CHW 	 JO78tn 	 10623 	 27 	 W-2 
 2025-09-29 13:36 	 YM2XBL 	 28.126161 	 -17 	 0 	 KN41 	 0.2 	 PE1PDC 	 JO22fd 	 2193 	 311 	 W-2 
 2025-09-29 13:36 	 G0KTN 	 28.126083 	 -15 	 0 	 IO81ti 	 0.1 	 SA5CHW 	 JO78tn 	 1394 	 48 	 W-2 
 2025-09-29 13:36 	 YM2XBL 	 28.126170 	 0 	 0 	 KN41 	 0.2 	 GM4WJA 	 IO87mn 	 2872 	 319 	 W-2 
 2025-09-29 13:36 	 G0UON 	 28.126066 	 -12 	 -1 	 IO84qs 	 2 	 IT9JFW 	 JM68qd 	 2206 	 140 	 W-2 
 2025-09-29 13:36 	 DL6NL 	 28.126165 	 +3 	 0 	 JO50cb 	 1 	 GM4WJA 	 IO87mn 	 1197 	 319 	 W-2 
 2025-09-29 13:36 	 G6FDN 	 28.126065 	 -23 	 0 	 IO82 	 0.2 	 SA5CHW 	 JO78tn 	 1349 	 53 	 W-2 
 2025-09-29 13:36 	 F6FUZ 	 28.126152 	 -26 	 0 	 JN05id 	 0.2 	 GM4WJA 	 IO87mn 	 1403 	 351 	 W-2 
 2025-09-29 13:36 	 DL6NL 	 28.126064 	 -21 	 0 	 JO50cb 	 1 	 IW0RQJ 	 JN63ha 	 804 	 166 	 W-2 
 2025-09-29 13:36 	 PY2LSB 	 28.126150 	 -15 	 0 	 GG77je 	 1 	 GM4WJA 	 IO87mn 	 9761 	 21 	 W-2 
 2025-09-29 13:36 	 PA2REH 	 28.126100 	 +19 	 -2 	 JO22fe 	 0.05 	 PE1PDC 	 JO22fd 	 5 	 180 	 W-2 
 2025-09-29 13:36 	 G0EIY 	 28.126184 	 -21 	 0 	 IO82or 	 0.2 	 SA6BSS/HL 	 JO68sc 	 1187 	 53 	 W-2 
 2025-09-29 13:36 	 AB5SS 	 28.126124 	 -12 	 3 	 GP51 	 20 	 GM4WJA 	 IO87mn 	 2579 	 79 	 W-2 
 2025-09-29 13:36 	 CX1CCC 	 28.126060 	 -20 	 1 	 GF15 	 0.2 	 IW0RQJ 	 JN63ha 	 11143 	 44 	 W-2 
 2025-09-29 13:36 	 DO3GU/5 	 28.126084 	 -26 	 2 	 GN51xw 	 50 	 GM4WJA 	 IO87mn 	 3586 	 45 	 W-2 

